names,total_cases,new_cases,total_deaths,new_deaths,total_recovered,new_recovered,active_cases,serious_cases,total_tests,population
USA,"107,583,087",,"1,170,864                                ",,"105,699,264",,"712,959",709,"1,181,214,584","334,805,269 "
India,"44,996,112",,"531,918                                ",,"44,462,655",,"1,539",N/A,"930,797,975","1,406,631,776 "
France,"40,138,560",,"167,642                                ",,"39,970,918",,0,869,"271,490,188","65,584,518 "
Germany,"38,428,685",,"174,352                                ",,"38,240,600",,"13,733",N/A,"122,332,384","83,883,596 "
Brazil,"37,739,057",,"704,897                                ",,"36,249,161",,"784,999",N/A,"63,776,166","215,353,593 "
Japan,"33,803,572",,"74,694                                ",,N/A,N/A,N/A,83,"100,414,883","125,584,838 "
S. Korea,"33,554,474",,"35,411                                ",,"32,830,939","+41,590","688,124",185,"15,804,065","51,329,899 "
Italy,"25,918,253",,"191,053                                ",,"25,612,716",,"114,484",28,"274,396,076","60,262,770 "
UK,"24,651,375",,"228,429                                ",,"24,417,149",+473,"5,797",N/A,"522,526,476","68,497,907 "
Russia,"22,980,206",,"399,897                                ",,"22,434,058",,"146,251",N/A,"273,400,000","145,805,947 "
Turkey,"17,232,066",,"102,174                                ",,N/A,N/A,N/A,,"162,743,369","85,561,976 "
Spain,"13,914,811",,"121,760                                ",,"13,762,417",,"30,634",231,"471,036,328","46,719,142 "
Australia,"11,736,523",,"22,362                                ",,"11,703,798",,"10,363",31,"81,916,639","26,068,792 "
Vietnam,"11,622,092",,"43,206                                ",,"10,640,372",,"938,514",1,"85,826,548","98,953,541 "
Taiwan,"10,241,506",,"19,005                                ",,"10,222,501",+1,0,,"30,742,304","23,888,595 "
Argentina,"10,057,945",,"130,527                                ",,"9,927,418",,0,363,"35,716,069","46,010,234 "
Netherlands,"8,610,372",,"22,992                                ",,"8,587,380",,0,53,"25,984,435","17,211,447 "
Mexico,"7,633,355",,"334,336                                ",,"6,885,378",,"413,641",N/A,"20,013,810","131,562,772 "
Iran,"7,613,171",,"146,318                                ",,"7,373,518",,"93,335",16,"56,934,517","86,022,837 "
Indonesia,"6,813,095",,"161,916                                ",,"6,646,293",,"4,886",N/A,"114,158,919","279,134,505 "
Poland,"6,518,273",,"119,635                                ",,"5,335,940",,"1,062,698",53,"38,812,803","37,739,785 "
Colombia,"6,377,142",,"142,942                                ",,"6,190,683",,"43,517",342,"36,951,507","51,512,762 "
Greece,"6,101,379",,"37,089                                ",,"6,064,290",,0,115,"102,228,365","10,316,637 "
Austria,"6,081,287",,"22,542                                ",,"6,054,934",,"3,811",14,"211,273,524","9,066,710 "
Portugal,"5,596,420",,"26,979                                ",,"5,568,232","+1,105","1,209",61,"46,139,518","10,140,570 "
Ukraine,"5,557,995",,"112,418                                ",,"5,445,577",,0,,"32,603,805","43,192,122 "
Chile,"5,289,589",,"64,497                                ",,"5,224,904",,188,9,"49,920,118","19,250,195 "
Malaysia,"5,121,276",,"37,165                                ",,"5,070,750",,"13,361",4,"68,383,011","33,181,072 "
Israel,"4,831,302",,"12,592                                ",,"4,798,473",,"20,237",21,"41,373,364","9,326,000 "
Belgium,"4,802,854",,"34,376                                ",,"4,767,511",,967,43,"37,018,657","11,668,278 "
DPRK,"4,772,813",,74                                ,,"4,772,739",,0,,,"25,990,679 "
Thailand,"4,755,443",,"34,437                                ",,"4,692,636",,"28,370",N/A,"17,270,775","70,078,203 "
Canada,"4,697,504",,"53,147                                ",,"4,639,890",+153,"4,467",99,"66,343,123","38,388,419 "
Czechia,"4,643,224",,"42,813                                ",,"4,600,177",,234,1,"57,245,806","10,736,784 "
Peru,"4,517,034",,"221,364                                ",,"4,295,670",,0,26,"38,753,114","33,684,208 "
Switzerland,"4,408,039",,"14,452                                ",,"4,392,785",,802,39,"23,833,472","8,773,637 "
Philippines,"4,174,101",,"66,643                                ",,"4,103,828",,"3,630",162,"35,659,012","112,508,994 "
South Africa,"4,076,463",,"102,595                                ",,"3,912,506",,"61,362",192,"26,795,090","60,756,135 "
Romania,"3,409,997",,"68,253                                ",,"3,340,632",,"1,112",37,"27,765,656","19,031,335 "
Denmark,"3,182,616",,"8,775                                ",,"3,173,655",,186,4,"129,315,119","5,834,950 "
Hong Kong,"2,916,103",,"13,819                                ",,"2,898,534",,"3,750",28,"76,127,725","7,604,299 "
Sweden,"2,712,743",,"24,536                                ",,"2,688,207",,0,8,"19,500,873","10,218,971 "
Serbia,"2,544,952",,"18,057                                ",,"2,526,481",,414,,"13,045,481","8,653,016 "
Singapore,"2,518,281",,"1,841                                ",,"2,149,583",,"366,857",2,"24,756,666","5,943,546 "
Iraq,"2,465,545",,"25,375                                ",,"2,439,497",,673,21,"19,544,451","42,164,965 "
New Zealand,"2,441,517",,"4,647                                ",,"2,433,678",,"3,192",,"7,768,604","4,898,203 "
Hungary,"2,203,289",,"48,881                                ",,"2,152,155",,"2,253",2,"11,394,556","9,606,259 "
Bangladesh,"2,044,532",,"29,473                                ",,"1,998,448",,"16,611",N/A,"15,254,399","167,885,689 "
Slovakia,"1,866,857",,"21,167                                ",,"1,845,690",,0,2,"7,432,749","5,460,193 "
Georgia,"1,845,538",,"17,101                                ",,"1,776,548",,"51,889",,"16,920,079","3,968,738 "
Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59,"17,201,885","10,300,869 "
Ireland,"1,715,065",,"9,125                                ",,"1,704,786",,"1,154",19,"13,083,449","5,020,199 "
Pakistan,"1,581,304",,"30,661                                ",,"1,538,689",,"11,954",1,"30,571,377","229,488,994 "
Norway,"1,486,301",,"5,613                                ",,"1,480,435",,253,20,"11,002,430","5,511,370 "
Finland,"1,483,389",,"10,113                                ",,"1,472,937",+19,339,21,"12,101,220","5,554,960 "
Kazakhstan,"1,411,831",,"13,848                                ",,"1,383,020",,"14,963",24,"11,575,012","19,205,043 "
Slovenia,"1,344,326",,"7,100                                ",,"1,337,079",,147,8,"2,847,701","2,078,034 "
Lithuania,"1,322,085",,"9,695                                ",,"1,312,012",,378,1,"10,471,460","2,661,708 "
Bulgaria,"1,309,932",,"38,442                                ",,"1,270,036",,"1,454",9,"11,314,697","6,844,597 "
Morocco,"1,275,273",,"16,297                                ",,"1,256,151",,"2,825",3,"13,001,033","37,772,756 "
Croatia,"1,274,154",,"18,288                                ",,"1,255,706",,160,,"5,623,103","4,059,286 "
Guatemala,"1,273,113",,"20,239                                ",,"1,249,158",,"3,716",5,"7,593,848","18,584,039 "
Costa Rica,"1,238,883",,"9,428                                ",,"860,711",,"368,744",52,"4,659,757","5,182,354 "
Lebanon,"1,238,552",,"10,936                                ",,"1,087,587",,"140,029",74,"4,795,578","6,684,849 "
Bolivia,"1,206,876",,"22,399                                ",,"1,176,026",,"8,451",220,"2,710,261","11,992,656 "
Tunisia,"1,153,361",,"29,423                                ",,N/A,N/A,N/A,44,"5,013,383","12,046,656 "
Cuba,"1,115,082",,"8,530                                ",,"1,106,483",,69,2,"14,345,940","11,305,652 "
Ecuador,"1,069,114",,"36,042                                ",,"1,032,936",,136,759,"3,082,403","18,113,361 "
UAE,"1,067,030",,"2,349                                ",,"1,054,525",,"10,156",,"200,732,262","10,081,785 "
Panama,"1,047,690",,"8,657                                ",,"1,038,881",,152,16,"7,770,470","4,446,964 "
Uruguay,"1,038,774",,"7,634                                ",,"1,030,944",,196,18,"6,114,822","3,496,016 "
Mongolia,"1,010,954",,"2,179                                ",,"1,008,765",,10,192,"4,030,048","3,378,078 "
Nepal,"1,003,396",,"12,031                                ",,"991,322",,43,,"6,047,766","30,225,582 "
Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",,"13,646,641","9,432,800 "
Latvia,"978,270",,"6,390                                ",,"971,406",,474,,"7,879,673","1,848,837 "
Saudi Arabia,"841,469",,"9,646                                ",,"827,923",,"3,900",66,"45,481,735","35,844,909 "
Azerbaijan,"832,036",,"10,293                                ",,"821,731",,12,,"7,663,893","10,300,205 "
Paraguay,"813,083",,"19,983                                ",,N/A,N/A,N/A,7,"2,657,506","7,305,843 "
Bahrain,"724,377",,"1,567                                ",,"722,165",,645,2,"10,892,544","1,783,983 "
Sri Lanka,"672,570",,"16,882                                ",,"655,682",,6,,"6,486,117","21,575,842 "
Dominican Republic,"667,048",,"4,384                                ",,"644,785",,"17,879",4,"3,740,928","11,056,370 "
Kuwait,"666,011",,"2,570                                ",,"660,237",,"3,204",,"8,455,743","4,380,326 "
Cyprus,"660,854",,"1,364                                ",,"659,490",,0,60,"9,640,118","1,223,387 "
Myanmar,"641,100",,"19,494                                ",,"619,908",,"1,698",,"11,062,341","55,227,143 "
Palestine,"621,008",,"5,404                                ",,"615,445",,159,17,"3,078,533","5,345,541 "
Moldova,"620,823",,"12,126                                ",,"504,142",,"104,555",49,"3,216,305","4,013,171 "
Estonia,"619,467",,"3,001                                ",,"524,990",,"91,476",,"3,730,376","1,321,910 "
Venezuela,"552,695",,"5,856                                ",,"546,537",,302,31,"3,359,014","29,266,991 "
Egypt,"516,023",,"24,613                                ",,"442,182",,"49,228",122,"3,693,367","106,156,692 "
Qatar,"514,524",,690                                ,,"513,687",,147,16,"4,065,369","2,979,915 "
Libya,"507,266",,"6,437                                ",,"500,829",,0,,"2,483,848","7,040,745 "
Ethiopia,"500,991",,"7,574                                ",,"488,165",,"5,252",,"5,563,762","120,812,698 "
Réunion,"486,588",,921                                ,,"418,572",,"67,095",10,"1,603,660","908,061 "
Honduras,"472,619",,"11,116                                ",,N/A,N/A,N/A,105,"1,660,662","10,221,247 "
Armenia,"449,273",,"8,751                                ",,"435,162",,"5,360",,"3,242,901","2,971,966 "
Bosnia and Herzegovina,"403,053",,"16,352                                ",,"379,084",,"7,617",,"1,884,721","3,249,317 "
Oman,"399,449",,"4,628                                ",,"384,669",,"10,152",2,"25,000,000","5,323,993 "
Zambia,"349,287",,"4,069                                ",,"341,316",,"3,902",,"4,112,961","19,470,234 "
North Macedonia,"348,374",,"9,677                                ",,"337,068",,"1,629",,"2,226,216","2,081,304 "
Kenya,"343,918",,"5,689                                ",,"337,309",,920,1,"3,967,062","56,215,221 "
Albania,"334,726",,"3,602                                ",,"329,428",,"1,696",,"1,941,032","2,866,374 "
Botswana,"330,176",,"2,801                                ",,"327,049",,326,1,"2,026,898","2,441,162 "
Luxembourg,"319,959",,"1,232                                ",,"316,690",,"2,037",,"4,587,145","642,371 "
Brunei ,"310,019",,225                                ,,"243,601",,"66,193",3,"717,784","445,431 "
Montenegro,"291,990",,"2,828                                ",,"288,680",,482,6,"2,764,972","627,950 "
Algeria,"271,852",,"6,881                                ",,"183,061",,"81,910",,"230,960","45,350,148 "
Nigeria,"266,675",,"3,155                                ",,"259,953",,"3,567",11,"5,708,974","216,746,934 "
Zimbabwe,"265,693",,"5,712                                ",,"258,888",,"1,093",12,"2,525,756","15,331,428 "
Uzbekistan,"253,662",,"1,637                                ",,"241,486",,"10,539",23,"1,377,915","34,382,084 "
Mozambique,"233,417",,"2,243                                ",,"228,805",,"2,369",11,"1,371,127","33,089,461 "
Martinique,"230,354",,"1,102                                ",,N/A,N/A,N/A,12,"828,928","374,087 "
Afghanistan,"224,531",,"7,940                                ",,"204,553",,"12,038",45,"1,288,316","40,754,388 "
Laos,"218,767",,758                                ,,N/A,N/A,N/A,,"1,233,207","7,481,023 "
Iceland,"209,191",,229                                ,,N/A,N/A,N/A,2,"1,996,384","345,393 "
Kyrgyzstan,"206,897",,"2,991                                ",,"196,406",,"7,500",131,"1,907,195","6,728,271 "
Guadeloupe,"203,235",,"1,021                                ",,N/A,N/A,N/A,19,"938,039","399,794 "
El Salvador,"201,785",,"4,230                                ",,"179,410",,"18,145",8,"2,610,114","6,550,389 "
Trinidad and Tobago,"191,496",,"4,390                                ",,"187,078",,28,8,"913,289","1,406,585 "
Maldives,"186,687",,316                                ,,"163,687",,"22,684",25,"2,213,831","540,985 "
Namibia,"171,998",,"4,098                                ",,"167,099",,801,,"1,062,663","2,633,874 "
Ghana,"171,740",,"1,462                                ",,"170,255",,23,2,"2,538,052","32,395,450 "
Uganda,"171,729",,"3,632                                ",,"100,431",,"67,666",3,"3,012,408","48,432,863 "
Jamaica,"155,860",,"3,596                                ",,"103,032",,"49,232",,"1,183,986","2,985,094 "
Cambodia,"138,940",,"3,056                                ",,"135,882",,2,,"3,091,420","17,168,639 "
Rwanda,"133,194",,"1,468                                ",,"131,647",,79,,"6,021,981","13,600,464 "
Cameroon,"125,090",,"1,974                                ",,"122,807",,309,13,"1,751,774","27,911,548 "
Malta,"119,585",,853                                ,,"118,026",,706,4,"2,146,367","444,033 "
Barbados,"109,503",,620                                ,,"108,647",,236,,"801,451","288,023 "
Angola,"105,384",,"1,934                                ",,"103,419",,31,,"1,499,795","35,027,343 "
Channel Islands,"101,717",,228                                ,,"101,321",,168,,"1,252,808","176,463 "
French Guiana,"98,041",,420                                ,,"11,254",,"86,367",6,"651,257","314,169 "
DRC,"97,697",,"1,468                                ",,"84,489",,"11,740",,"846,704","95,240,792 "
Senegal,"89,014",,"1,971                                ",,"87,024",,19,,"1,146,543","17,653,671 "
Malawi,"88,835",,"2,686                                ",,"85,651",,498,67,"624,784","20,180,839 "
Ivory Coast,"88,338",,835                                ,,"87,497",,6,,"1,690,934","27,742,298 "
Suriname,"82,588",,"1,408                                ",,N/A,N/A,N/A,,"242,207","596,831 "
New Caledonia,"79,922",,314                                ,,"79,605",,3,9,"98,964","290,915 "
French Polynesia,"78,617",,649                                ,,N/A,N/A,N/A,7,,"284,164 "
Eswatini,"74,882",,"1,427                                ",,"73,116",,339,,"1,048,704","1,184,817 "
Guyana,"73,385",,"1,299                                ",,"72,013",,73,,"733,218","794,045 "
Belize,"70,782",,688                                ,,"70,085",,9,6,"576,016","412,190 "
Fiji,"69,117",,885                                ,,"67,226",,"1,006",,"672,883","909,466 "
Madagascar,"68,289",,"1,425                                ",,"66,862",,2,,"531,329","29,178,077 "
Cabo Verde,"64,217",,414                                ,,"63,721",,82,23,"401,622","567,678 "
Sudan,"63,993",,"5,046                                ",,"58,876",,71,,"562,941","45,992,020 "
Mauritania,"63,715",,997                                ,,"62,471",,247,,"1,009,957","4,901,981 "
Bhutan,"62,691",,21                                ,,"61,564",,"1,106",,"2,303,734","787,941 "
Syria,"57,706",,"3,165                                ",,"54,541",,0,,"146,269","19,364,809 "
Burundi,"54,234",,38                                ,,"53,569",,627,,"345,742","12,624,840 "
Seychelles,"50,937",,172                                ,,"50,750",,15,,,"99,426 "
Gabon,"48,992",,307                                ,,"48,674",,11,,"1,621,909","2,331,533 "
Andorra,"48,015",,165                                ,,"47,563",,287,14,"249,838","77,463 "
Papua New Guinea,"46,864",,670                                ,,"43,982",,"2,212",7,"249,149","9,292,169 "
Curaçao,"45,986",,295                                ,,"44,720",,971,3,"496,693","165,529 "
Aruba,"44,224",,292                                ,,"42,438",,"1,494",2,"177,885","107,609 "
Tanzania,"43,078",,846                                ,,N/A,N/A,N/A,7,,"63,298,550 "
Mauritius,"42,792",,"1,051                                ",,"41,061",,680,,"358,675","1,274,727 "
Mayotte,"42,027",,188                                ,,N/A,N/A,N/A,,"176,919","286,259 "
Togo,"39,510",,290                                ,,"39,216",,4,,"812,881","8,680,837 "
Guinea,"38,563",,468                                ,,"37,757",,338,8,"660,107","13,865,691 "
Bahamas,"38,084",,844                                ,,"36,366",,874,1,"257,839","400,516 "
Isle of Man,"38,008",,116                                ,,N/A,N/A,N/A,,"150,753","85,732 "
Lesotho,"34,790",,723                                ,,"25,980",,"8,087",,"431,221","2,175,699 "
Faeroe Islands,"34,658",,28                                ,,N/A,N/A,N/A,5,"778,000","49,233 "
Haiti,"34,306",,860                                ,,"33,372",,74,,"132,422","11,680,283 "
Mali,"33,151",,743                                ,,"32,332",,76,,"804,909","21,473,764 "
Cayman Islands,"31,472",,37                                ,,"8,553",,"22,882",1,"222,773","67,277 "
Saint Lucia,"30,052",,409                                ,,"29,095",,548,,"210,983","185,113 "
Benin,"28,014",,163                                ,,"27,847",,4,,"604,310","12,784,726 "
Somalia,"27,334",,"1,361                                ",,"13,182",,"12,791",,"400,466","16,841,795 "
Micronesia,"26,472",,65                                ,,N/A,N/A,N/A,1,"82,430","117,489 "
Congo,"25,375",,386                                ,,"24,006",,983,,"347,815","5,797,805 "
Solomon Islands,"24,575",,153                                ,,N/A,N/A,N/A,1,,"721,159 "
San Marino,"24,382",,125                                ,,"24,249",,8,4,"196,855","34,085 "
Timor-Leste,"23,460",,138                                ,,"23,102",,220,,"278,529","1,369,429 "
Burkina Faso,"22,056",,396                                ,,"21,596",,64,,"248,995","22,102,838 "
Liechtenstein,"21,473",,94                                ,,"21,352",,27,,"112,457","38,387 "
Gibraltar,"20,550",,113                                ,,"16,579",,"3,858",,"534,283","33,704 "
Grenada,"19,693",,238                                ,,"19,358",,97,4,"182,981","113,475 "
Bermuda,"18,860",,165                                ,,"18,685",,10,,"1,029,558","61,939 "
Nicaragua,"18,491",,225                                ,,"4,225",,"14,041",,,"6,779,100 "
South Sudan,"18,368",,138                                ,,"18,115",,115,1,"410,280","11,618,511 "
Tajikistan,"17,786",,125                                ,,"17,264",,397,,,"9,957,464 "
Equatorial Guinea,"17,229",,183                                ,,"16,907",,139,5,"365,697","1,496,662 "
Monaco,"16,858",,67                                ,,"15,992",,799,4,"78,646","39,783 "
Tonga,"16,819",,13                                ,,"15,638",,"1,168",,"535,009","107,749 "
Samoa,"16,775",,31                                ,,"1,605",,"15,139",,"187,397","202,239 "
Marshall Islands,"16,098",,17                                ,,"16,079",,2,,,"60,057 "
Dominica,"15,760",,74                                ,,"15,673",,13,,"229,344","72,344 "
Djibouti,"15,690",,189                                ,,"15,427",,74,,"305,941","1,016,097 "
CAR,"15,368",,113                                ,,"15,200",,55,2,"81,294","5,016,678 "
Macao,"13,314",,123                                ,,"3,487",,"9,704",,"7,850","667,490 "
Gambia,"12,626",,372                                ,,"12,189",,65,,"155,686","2,558,482 "
Saint Martin,"12,324",,63                                ,,"1,399",,"10,862",7,"112,382","39,730 "
Vanuatu,"12,019",,14                                ,,"11,976",,29,,"24,976","321,832 "
Greenland,"11,971",,21                                ,,"2,761",,"9,189",4,"164,926","56,973 "
Yemen,"11,945",,"2,159                                ",,"9,124",,662,23,"329,592","31,154,867 "
Caribbean Netherlands,"11,682",,38                                ,,"10,476",,"1,168",,"30,126","26,647 "
Sint Maarten,"11,051",,92                                ,,"10,905",,54,N/A,"62,056","43,966 "
Eritrea,"10,189",,103                                ,,"10,086",,0,,"23,693","3,662,244 "
Niger,"9,931",,312                                ,,"8,890",,729,1,"254,538","26,083,660 "
St. Vincent Grenadines,"9,631",,124                                ,,"9,493",,14,,"114,197","111,551 "
Guinea-Bissau,"9,614",,177                                ,,"8,929",,508,6,"145,231","2,063,367 "
Comoros,"9,109",,161                                ,,"8,939",,9,,,"907,419 "
Antigua and Barbuda,"9,106",,146                                ,,"8,954",,6,1,"18,901","99,509 "
Liberia,"8,090",,295                                ,,"7,783",,12,2,"139,824","5,305,117 "
Sierra Leone,"7,762",,126                                ,,N/A,N/A,N/A,,"259,958","8,306,436 "
Chad,"7,701",,194                                ,,"4,874",,"2,633",,"191,341","17,413,580 "
British Virgin Islands,"7,305",,64                                ,,N/A,N/A,N/A,,"107,339","30,596 "
Cook Islands,"7,152",,2                                ,,"7,150",,0,,"19,690","17,571 "
Turks and Caicos,"6,630",,39                                ,,"6,576",,15,4,"614,852","39,741 "
Saint Kitts and Nevis,"6,607",,48                                ,,"6,559",,0,,"126,958","53,871 "
Sao Tome and Principe,"6,589",,80                                ,,"6,509",,0,,"29,036","227,679 "
Palau,"6,160",,9                                ,,"6,089",,62,,"70,271","18,233 "
St. Barth,"5,507",,6                                ,,N/A,N/A,N/A,,"78,646","9,945 "
Nauru,"5,393",,1                                ,,"5,347",,45,,"20,509","10,903 "
Kiribati,"5,082",,24                                ,,"2,703",,"2,355",3,,"123,419 "
Anguilla,"3,904",,12                                ,,"3,879",,13,4,"51,382","15,230 "
Wallis and Futuna,"3,550",,8                                ,,438,,"3,104",,"20,508","10,982 "
Saint Pierre Miquelon,"3,452",,2                                ,,"2,449",,"1,001",1,"25,400","5,759 "
Tuvalu,"2,943",,1                                ,,,,"2,942",,,"12,066 "
Saint Helena,"2,166",, ,,2,,"2,164",,,"6,115 "
Falkland Islands,"1,930",, ,,"1,930",,0,,"8,632","3,539 "
Montserrat,"1,403",,8                                ,,"1,376",,19,,"17,762","4,965 "
Niue,829,, ,,825,,4,,,"1,622 "
Diamond Princess,712,,13                                ,,699,,0,,, 
Tokelau,80,, ,,,,80,,,"1,378 "
Vatican City,29,, ,,29,,0,,,799 
Western Sahara,10,,1                                ,,9,,0,,,"626,161 "
MS Zaandam,9,,2                                ,,7,,0,,, 
China,"503,302",,"5,272                                ",,"379,053",,"118,977",N/A,"160,000,000","1,448,471,400                                "
